booking_id,passenger_id,flight_id,booking_date,ticket_price,seat_class
1,206,14,2024-11-15,49258,Business
2,944,44,2024-03-08,11255,Economy
3,556,45,2024-11-22,19126,Business
4,780,23,2024-10-14,58719,Business
5,691,48,2024-09-30,59363,Business
6,828,1,2024-09-24,3414,Economy
7,391,10,2024-01-28,6275,Economy
8,274,49,2024-03-23,36841,Business
9,150,4,2024-12-19,30738,Business
10,772,35,2024-01-17,63322,Business
11,105,40,2024-12-11,13602,Economy
12,575,25,2024-05-01,10157,Business
13,949,25,2024-07-17,44980,Business
14,990,36,2024-01-28,7117,Economy
15,208,40,2024-08-14,13383,Economy
16,722,46,2024-11-27,29751,Business
17,795,47,2024-04-09,62827,Business
18,182,44,2024-02-08,5847,Economy
19,753,33,2024-03-02,9326,Business
20,439,18,2024-10-11,21048,Business
21,165,38,2024-05-10,8415,Economy
22,478,46,2024-03-20,5518,Economy
23,951,21,2024-11-01,13246,Economy
24,631,43,2024-06-03,50934,Business
25,75,46,2024-06-11,6012,Economy
26,534,5,2024-09-15,9814,Economy
27,557,35,2024-07-25,8724,Economy
28,227,14,2024-12-05,47393,Business
29,370,19,2024-04-21,5153,Business
30,118,43,2024-06-26,35502,Business
31,927,42,2024-11-10,3653,Economy
32,699,21,2024-07-14,9322,Economy
33,263,35,2024-05-24,11468,Economy
34,842,50,2024-07-10,67806,Business
35,45,19,2024-11-29,8248,Economy
36,527,6,2024-02-19,11814,Economy
37,547,1,2024-11-16,6453,Economy
38,687,41,2024-04-19,17621,Business
39,211,35,2024-12-25,13452,Business
40,765,44,2024-03-19,10523,Economy
41,735,22,2024-01-20,4200,Economy
42,56,12,2024-05-08,12420,Economy
43,842,15,2024-05-12,54860,Business
44,462,41,2024-07-26,45471,Business
45,18,25,2024-12-10,11762,Economy
46,7,42,2024-11-12,12594,Economy
47,47,45,2024-02-07,69907,Business
48,109,19,2024-12-17,15338,Business
49,289,49,2024-08-12,55788,Business
50,842,43,2024-01-16,24489,Business
51,547,15,2024-03-10,42663,Business
52,984,41,2024-03-14,52906,Business
53,981,1,2024-10-10,5019,Economy
54,43,1,2024-10-20,15157,Business
55,313,14,2024-06-25,9760,Economy
56,928,42,2024-09-19,5637,Economy
57,189,15,2024-11-11,29470,Business
58,118,12,2024-12-09,11992,Economy
59,473,42,2024-10-08,7762,Economy
60,688,5,2024-05-08,6234,Economy
61,744,38,2024-09-06,50810,Business
62,132,43,2024-12-01,4639,Economy
63,292,40,2024-02-05,8206,Economy
64,498,29,2024-06-17,23974,Business
65,580,37,2024-07-05,60139,Business
66,173,1,2024-06-09,6629,Economy
67,730,48,2024-11-24,40264,Business
68,861,24,2024-03-09,66908,Business
69,474,29,2024-07-02,67828,Business
70,565,7,2024-03-30,7597,Economy
71,880,9,2024-10-02,7312,Economy
72,752,41,2024-02-09,3305,Economy
73,870,33,2024-11-19,12533,Economy
74,593,26,2024-10-29,3600,Economy
75,565,17,2024-10-05,23481,Business
76,375,26,2024-04-24,21548,Business
77,476,33,2024-09-18,9500,Economy
78,373,33,2024-01-06,13060,Economy
79,701,11,2024-09-20,10310,Economy
80,164,12,2024-10-16,14993,Economy
81,496,23,2024-01-21,10989,Economy
82,238,5,2024-05-15,34673,Business
83,44,43,2024-04-15,54868,Business
84,481,30,2024-01-24,13625,Economy
85,332,7,2024-12-26,38513,Business
86,593,35,2024-10-18,9171,Economy
87,670,25,2024-07-06,11465,Economy
88,258,25,2024-04-24,50255,Business
89,837,23,2024-09-06,4864,Business
90,514,9,2024-08-13,6768,Economy
91,79,33,2024-11-25,31723,Business
92,154,12,2024-03-21,19509,Business
93,677,15,2024-07-31,18855,Business
94,494,44,2024-09-02,31617,Business
95,605,11,2024-11-27,6942,Business
96,250,3,2024-03-06,5207,Economy
97,645,33,2024-01-21,3916,Economy
98,171,17,2024-04-02,6440,Business
99,900,47,2024-12-04,15239,Business
100,222,29,2024-11-06,67133,Business
101,175,15,2024-07-29,12546,Economy
102,841,50,2024-04-03,25983,Business
103,742,44,2024-06-24,13023,Business
104,236,25,2024-07-16,4778,Economy
105,17,13,2024-09-24,23603,Business
106,621,7,2024-03-31,9116,Business
107,899,35,2024-09-14,4526,Economy
108,494,43,2024-03-07,14117,Economy
109,665,28,2024-09-24,52546,Business
110,896,3,2024-12-23,34079,Business
111,961,31,2024-07-14,16807,Business
112,436,9,2024-05-10,34475,Business
113,932,6,2024-05-25,37791,Business
114,194,1,2024-12-29,12469,Economy
115,536,8,2024-09-23,9144,Economy
116,671,14,2024-12-18,57588,Business
117,371,7,2024-03-20,37244,Business
118,268,35,2024-08-04,40118,Business
119,697,26,2024-04-14,67238,Business
120,184,24,2024-10-13,37263,Business
121,315,37,2024-06-25,22096,Business
122,876,43,2024-03-01,10317,Economy
123,802,45,2024-03-23,6513,Economy
124,521,26,2024-06-22,5633,Economy
125,399,41,2024-01-03,5381,Economy
126,483,39,2024-08-10,4049,Economy
127,270,15,2024-07-08,12978,Economy
128,39,47,2024-07-15,41548,Business
129,729,39,2024-01-30,13490,Economy
130,507,29,2024-01-06,13762,Economy
131,954,34,2024-05-26,3550,Economy
132,803,39,2024-09-18,13079,Economy
133,174,44,2024-01-19,35359,Business
134,671,1,2024-03-21,7520,Economy
135,799,26,2024-06-29,57143,Business
136,601,13,2024-09-22,14528,Economy
137,71,6,2024-10-08,49625,Business
138,356,18,2024-04-25,10450,Economy
139,953,26,2024-10-21,7277,Economy
140,180,27,2024-09-16,12152,Economy
141,75,33,2024-05-30,19336,Business
142,823,33,2024-05-11,62034,Business
143,990,25,2024-10-15,35886,Business
144,776,22,2024-08-22,7584,Business
145,494,8,2024-05-12,9269,Economy
146,649,15,2024-12-12,8172,Economy
147,423,23,2024-09-21,14482,Economy
148,853,17,2024-05-07,16190,Business
149,409,44,2024-06-24,12085,Economy
150,954,12,2024-08-31,50338,Business
151,224,37,2024-05-17,14192,Economy
152,953,13,2024-09-12,6847,Economy
153,754,16,2024-05-15,6755,Economy
154,208,16,2024-11-12,24446,Business
155,798,7,2024-03-02,14072,Economy
156,979,43,2024-09-09,11871,Economy
157,981,3,2024-09-03,45342,Business
158,505,37,2024-05-20,27969,Business
159,783,33,2024-05-23,33110,Business
160,769,37,2024-03-06,11613,Economy
161,819,28,2024-09-01,11232,Economy
162,356,26,2024-12-17,10490,Economy
163,1000,8,2024-12-23,45373,Business
164,706,1,2024-01-07,9216,Economy
165,595,7,2024-06-15,38039,Business
166,192,36,2024-05-14,7413,Economy
167,483,40,2024-06-24,28105,Business
168,511,28,2024-04-17,52799,Business
169,374,26,2024-05-23,27578,Business
170,586,9,2024-10-21,4636,Economy
171,739,18,2024-04-30,53923,Business
172,201,10,2024-03-17,5276,Business
173,181,27,2024-09-12,13332,Economy
174,530,35,2024-06-10,43326,Business
175,257,36,2024-10-17,9527,Economy
176,102,45,2024-03-24,6530,Economy
177,834,17,2024-08-31,10370,Economy
